Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"Disney Dracula, starring Mickey Mouse",The Walt Disney Company,"",9781506712123,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor,"","",hardcover,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Last of the Firedrakes,Farah Oomerbhoy,"",9781940014722,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Certain Dark Things,Silvia Moreno-Garcia,Aida Reluzco (Narrator),9781250808271,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Duncton Wood,William Horwood,"",9780099443001,paperback,"","","","","","","","","","","","","","","","",animals,No
Light from Uncommon Stars,Ryka Aoki,"",9781250789068,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Last Rose of Shanghai,Weina Dai Randel,"",9781542032872,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Scarlet Letter,Nathaniel Hawthorne,"",9780743487566,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Durarara!!, Vol. 1",Ryohgo Narita,Stephen Paul,"",digital,"","","","","","","","","","","","","","","","","light-novel, next",No
Mask of Duplicity,Julia Brannan,"",,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Death on Gokumon Island,Seishi Yokomizo,"",9781782277422,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Witch of Tin Mountain,Paulette Kennedy,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Emperor's Edge Collection,Lindsay Buroker,"","",,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Darknesses,L.E. Modesitt Jr.,"",9781250217547,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
1Q84,Haruki Murakami,"Jay Rubin (Translator), Philip Gabriel (Translator)",9780307476463,paperback,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
The Age of Innocence,Edith Wharton,"",9780140624397,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Cleopatra's Dagger,Carole Lawrence,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Greater Music,Bae Suah,Deborah Smith (Translator),9781940953465,paperback,"","","","","","","","","","","","","","","","","korean-literature, asian-literature",No
Dragonquest,Anne McCaffrey,"",9780345335081,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Hen Who Dreamed She Could Fly,Sun-mi Hwang,"Chi-Young Kim (Translator), Nomoco (Illustrator)",9780143123200,paperback,"","","","","","","","","","","","","","","","","korean-literature, asian-literature",No
Natural Ordermage,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Swan Light,Phoebe Rowe,"",B0B11TKR5Y,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
These Tangled Vines,Julianne MacLean,"",9781542025393,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The White Order,L.E. Modesitt Jr.,"",0812541715,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
極楽街 1 [Gokurakugai 1],"佐乃夕斗, Yuto Sano","","",digital,"","","","","","","","","","","","","","","","","on-hold, manga",No
Spread Volume 1: No Hope,Justin Jordan,"",9781632152565,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Beowulf,Unknown,"",9781593083830,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Outcasts of Order,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Curious Case of the Clockwork Man,Mark Hodder,"",9781616143596,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,"",9781408889510,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Thief in Time,Cidney Swanson,"",9781939543462,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"The Woods, Vol. 4: Movie Night",James Tynion IV,Michael Dialynas (Illustrator),9781608868223,paperback,"","","","","","","","","","","","","","","","",comics,No
The House of Closed Doors,Jane Steen,"",9780985715021,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
John Sinclair Großband 1: Folgen 1-10 in einem Sammelband,Jason Dark,"","",digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Unseelie,Ivelisse Housman,"",9781335428592,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Sketchy,Olivia Samms,"",9781477816509,digital,"","","","","","","","","","","","","","","","",all-tbr,No
On the Origin of Species,Charles Darwin,Damien Hirst (Illustrator),9781846141881,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Planetfall,Emily McCosh,"",B0BG971L9D,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Ivar, Timewalker Volume 1: Making History",Fred Van Lente,"",9781939346636,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Iliad,Homer,"",9781853262425,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
